Date,Close,Volume,MA
2005-12-01,2.557143,812893200,2.4620835
2005-12-02,2.593929,895762000,2.494940667
2005-12-05,2.565,583671200,2.5097025
2005-12-06,2.644643,857029600,2.5358335
2005-12-07,2.641071,679464800,2.570654833
2005-12-08,2.645714,790479200,2.607916667
2005-12-09,2.654643,555402400,2.624166667
2005-12-12,2.675357,524994400,2.637738
2005-12-13,2.677857,493816400,2.6565475
2005-12-14,2.571786,1450716400,2.644404667
2005-12-15,2.577857,561162000,2.633869
2005-12-16,2.539643,671171200,2.6161905
2005-12-19,2.549286,529295200,2.598631
2005-12-20,2.575357,479108000,2.581964333
2005-12-21,2.625,475736800,2.573154833
2005-12-22,2.643571,370610800,2.585119
2005-12-23,2.619643,229857600,2.592083333
2005-12-27,2.651071,590590000,2.610654667
2005-12-28,2.6275,398115200,2.623690333
2005-12-29,2.551786,490025200,2.619761833
2005-12-30,2.5675,624262800,2.6101785
2006-01-03,2.669643,807234400,2.614523833
2006-01-04,2.6775,619603600,2.624166667
2006-01-05,2.656429,449422400,2.625059667
2006-01-06,2.725,704457600,2.641309667
2006-01-09,2.716071,675040800,2.6686905
2006-01-10,2.887857,2279869200,2.722083333
2006-01-11,2.996429,1493794400,2.776547667
2006-01-12,3.010357,1280809600,2.832023833
2006-01-13,3.056786,776305600,2.89875
2006-01-17,3.025357,835623600,2.9488095
2006-01-18,2.946071,1200637200,2.987142833
2006-01-19,2.822857,1695848000,2.9763095
2006-01-20,2.7175,1134758800,2.929821333
2006-01-23,2.773929,1059730000,2.890416667
2006-01-24,2.715714,1142254400,2.833571333
2006-01-25,2.65,1275786400,2.771011833
2006-01-26,2.583214,1181387200,2.710535667
2006-01-27,2.5725,953864800,2.6688095
2006-01-30,2.678571,1398401200,2.662321333
2006-01-31,2.696786,913542000,2.649464167
2006-02-01,2.693571,521186400,2.645773667
2006-02-02,2.575,707322000,2.633273667
2006-02-03,2.566071,692123600,2.6304165
2006-02-06,2.403571,1651767600,2.602261667
2006-02-07,2.414286,1388830800,2.558214167
2006-02-08,2.4575,953114400,2.518333167
2006-02-09,2.319643,1149764000,2.456011833
2006-02-10,2.403929,1760477600,2.4275
2006-02-13,2.311071,883498000,2.385
2006-02-14,2.415714,1160938800,2.387023833
2006-02-15,2.472143,1159771200,2.396666667
2006-02-16,2.520357,948175200,2.407142833
2006-02-17,2.510357,575999200,2.4389285
2006-02-21,2.467143,779606800,2.449464167
2006-02-22,2.547143,978238800,2.4888095
2006-02-23,2.5625,856917600,2.513273833
2006-02-24,2.552143,534744000,2.526607167
2006-02-27,2.535357,791240800,2.529107167
2006-02-28,2.446071,1266980400,2.518392833
2006-03-01,2.467857,763817600,2.518511833
2006-03-02,2.486071,625273600,2.508333167
2006-03-03,2.418571,737668400,2.484345
2006-03-06,2.338571,912665600,2.448749667
2006-03-07,2.368214,872877600,2.4208925
2006-03-08,2.345,653251200,2.404047333
2006-03-09,2.283214,799304800,2.3732735
2006-03-10,2.256786,1043142800,2.335059333
2006-03-13,2.345714,861187600,2.3229165
2006-03-14,2.404286,642020400,2.333869
2006-03-15,2.365357,891996000,2.333392833
2006-03-16,2.296786,749638400,2.325357167
2006-03-17,2.309286,812042000,2.3297025
2006-03-20,2.285357,605441200,2.334464333
2006-03-21,2.2075,1345366400,2.311428667
2006-03-22,2.2025,1345895600,2.277797667
2006-03-23,2.148571,1427826400,2.241666667
2006-03-24,2.141429,1071980000,2.215773833
2006-03-27,2.125357,1108072000,2.185119
2006-03-28,2.096786,1370322800,2.1536905
2006-03-29,2.226071,2346834000,2.156785667
2006-03-30,2.241071,1390650800,2.163214167
2006-03-31,2.24,815357200,2.178452333
2006-04-03,2.2375,815791200,2.194464167
2006-04-04,2.184643,931924000,2.204345167
2006-04-05,2.400357,2233408800,2.254940333
2006-04-06,2.544286,2663768800,2.307976167
2006-04-07,2.4925,1545238800,2.349881
2006-04-10,2.4525,903515200,2.385297667
2006-04-11,2.428214,939316000,2.417083333
2006-04-12,2.3825,739894400,2.4500595
2006-04-13,2.373929,734678000,2.445654833
2006-04-17,2.314643,721938000,2.407381
2006-04-18,2.365,794844400,2.386131
2006-04-19,2.344643,1086033200,2.368154833
2006-04-20,2.415357,1666982800,2.366012
2006-04-21,2.394286,788986800,2.367976333
2006-04-24,2.348214,707028000,2.3636905
2006-04-25,2.363214,529062800,2.371785667
2006-04-26,2.433929,710886400,2.383273833
2006-04-27,2.477143,845947200,2.405357167
2006-04-28,2.513929,760037600,2.421785833
2006-05-01,2.485714,750380400,2.437023833
2006-05-02,2.557857,771663200,2.471964333
2006-05-03,2.540714,686991200,2.501547667
2006-05-04,2.540357,860420400,2.519285667
2006-05-05,2.5675,563911600,2.534345167
2006-05-08,2.5675,594851600,2.543273667
2006-05-09,2.536786,531666800,2.551785667
2006-05-10,2.521429,459888800,2.545714333
2006-05-11,2.433929,812688800,2.527916833
2006-05-12,2.417857,641774000,2.507500167
2006-05-15,2.421071,529177600,2.483095333
2006-05-16,2.320714,936740000,2.441964333
2006-05-17,2.330714,754194000,2.407619
2006-05-18,2.256429,658442400,2.363452333
